Congress,Session,Begin Date,Adjourn Date
115,2,1/3/18,
115,1,1/3/17,1/3/18
114,2,1/4/16,1/3/17
114,1,1/6/15,12/18/15
113,2,1/3/14,12/16/14
113,1,1/3/13,1/3/14
112,2,1/3/12,1/3/13
112,1,1/5/11,1/3/12
111,2,1/5/10,12/22/10
111,1,1/6/09,12/24/09
110,2,1/3/08,1/3/09
110,1,1/4/07,12/31/07
109,2,1/3/06,12/9/06
109,1,1/4/05,12/22/05
108,2,1/20/04,12/8/04
108,1,1/7/03,12/9/03
107,2,1/23/02,11/22/02
107,1,1/3/01,12/20/01
106,2,1/24/00,12/15/00
106,1,1/6/99,11/22/99
105,2,1/27/98,12/19/98
105,1,1/7/97,11/13/97
104,2,1/3/96,10/4/96
104,1,1/4/95,1/3/96
103,2,1/25/94,12/1/94
103,1,1/5/93,11/26/93
102,2,1/3/92,10/9/92
102,1,1/3/91,1/3/92
101,2,1/23/90,10/28/90
101,1,1/3/89,11/22/89
100,2,1/25/88,10/22/88
100,1,1/6/87,12/22/87
99,2,1/21/86,10/18/86
99,1,1/3/85,12/20/85
98,2,1/23/84,10/12/84
98,1,1/3/83,11/18/83
97,2,1/25/82,12/23/82
97,1,1/5/81,12/16/81
96,2,1/3/80,12/16/80
96,1,1/15/79,1/3/80
95,2,1/19/78,10/15/78
95,1,1/4/77,12/15/77
94,2,1/19/76,10/1/76
94,1,1/14/75,12/19/75
93,2,1/21/74,12/20/74
93,1,1/3/73,12/22/73
92,2,1/18/72,10/18/72
92,1,1/21/71,12/17/71
91,2,1/19/70,1/2/71
91,1,1/3/69,12/23/69
90,2,1/15/68,10/14/68
90,1,1/10/67,12/15/67
89,2,1/10/66,10/22/66
89,1,1/4/65,10/23/65
88,2,1/7/64,10/3/64
88,1,1/9/63,12/30/63
87,2,1/10/62,10/13/62
87,1,1/3/61,9/27/61
86,2,1/6/60,9/1/60
86,1,1/7/59,9/15/59
85,2,1/7/58,8/24/58
85,1,1/3/57,8/30/57
84,2,1/3/56,7/27/56
84,1,1/5/55,8/2/55
83,2,1/6/54,12/2/54
83,1,1/3/53,8/3/53
82,2,1/8/52,7/7/52
82,1,1/3/51,10/20/51
81,2,1/3/50,1/2/51
81,1,1/3/49,10/19/49
80,2,1/6/48,12/31/48
80,1,1/3/47,12/19/47
79,2,1/14/46,8/2/46
79,1,1/3/45,12/21/45
78,2,1/10/44,12/19/44
